Customer ID,First Date,Last Date,Customer Tenure,Recency,Frequency,Monetary,Total Quantity,First Order Revenue,Avg Days Between Orders,First Order Quantity,Average Order Value,Customer Lifetime Value,Repeat Purchase Customer,Relative Repeat Rate,Churn Likelihood,Average Basket Size,Customer Segment
26,2012-06-27,2013-11-12,1,49,4,947.31,36,659.78,167,11,236.8275,947.31,1,0.14814814814814814,0.13424657534246576,9.0,Medium Value
27,2010-02-11,2013-02-11,3,323,6,3009.88,88,49.67999999999999,219,12,501.6466666666667,9029.64,1,0.2222222222222222,0.8849315068493151,14.666666666666666,High Value
28,2011-01-22,2013-04-14,2,261,2,240.41000000000003,2,2.88,813,1,120.20500000000001,480.82000000000005,1,0.07407407407407407,0.7150684931506849,1.0,Medium Value
29,2011-01-30,2013-01-30,2,335,2,205.94,4,197.96999999999997,731,3,102.97,411.88,1,0.07407407407407407,0.9178082191780822,2.0,Medium Value
31,2012-11-08,2012-11-08,0,418,1,103.85,15,97.2,0,15,103.85,0.0,0,0.037037037037037035,1.1452054794520548,15.0,Low Value
32,2010-02-22,2013-12-06,3,25,6,8498.66,65,454.87,276,13,1416.4433333333334,25495.98,1,0.2222222222222222,0.0684931506849315,10.833333333333334,High Value
33,2010-06-15,2013-08-16,3,137,5,861.83,54,55.120000000000005,289,13,172.366,2585.4900000000002,1,0.18518518518518517,0.37534246575342467,10.8,Medium Value
35,2012-11-27,2013-05-28,0,217,2,20839.469999999998,10,20349.06,182,3,10419.734999999999,0.0,1,0.07407407407407407,0.5945205479452055,5.0,Low Value
36,2012-11-27,2012-11-27,0,399,2,346.17,39,268.83,0,29,173.085,0.0,1,0.07407407407407407,1.093150684931507,19.5,Low Value
37,2012-11-27,2012-11-27,0,399,1,69.25,11,63.580000000000005,0,11,69.25,0.0,0,0.037037037037037035,1.093150684931507,11.0,Low Value
39,2011-03-07,2013-12-06,2,25,3,241.43,28,16.8,502,10,80.47666666666667,482.86,1,0.1111111111111111,0.0684931506849315,9.333333333333334,Medium Value
40,2013-03-21,2013-03-21,0,285,1,38.42,4,31.92,0,4,38.42,0.0,0,0.037037037037037035,0.7808219178082192,4.0,Low Value
42,2012-05-11,2013-11-26,1,35,3,862.27,53,367.92,282,8,287.42333333333335,862.27,1,0.1111111111111111,0.0958904109589041,17.666666666666668,Medium Value
43,2010-10-11,2013-08-30,2,123,3,2205.6,30,599.9399999999999,527,6,735.1999999999999,4411.2,1,0.1111111111111111,0.336986301369863,10.0,Medium Value
45,2012-02-24,2012-09-23,0,464,2,625.1800000000001,31,513.24,212,13,312.59000000000003,0.0,1,0.07407407407407407,1.2712328767123289,15.5,Low Value
46,2012-09-23,2012-09-23,0,464,2,459.29999999999995,23,92.91,0,3,229.64999999999998,0.0,1,0.07407407407407407,1.2712328767123289,11.5,Low Value
48,2011-08-15,2013-11-01,2,60,5,866.76,63,17.98,202,1,173.352,1733.52,1,0.18518518518518517,0.1643835616438356,12.6,Medium Value
49,2011-03-29,2013-12-03,2,28,8,1936.7700000000002,38,67.84,114,1,242.09625000000003,3873.5400000000004,1,0.2962962962962963,0.07671232876712329,4.75,Medium Value
50,2011-03-29,2011-03-29,0,1008,1,2234.09,8,2209.6,0,8,2234.09,0.0,0,0.037037037037037035,2.7616438356164386,8.0,Low Value
52,2010-10-09,2012-06-11,1,568,3,1367.6200000000001,36,695.9399999999999,305,6,455.8733333333334,1367.6200000000001,1,0.1111111111111111,1.5561643835616439,12.0,Medium Value
53,2010-07-28,2013-02-19,2,315,3,3653.19,29,3502.14,468,1,1217.73,7306.38,1,0.1111111111111111,0.863013698630137,9.666666666666666,High Value
55,2011-06-10,2013-10-04,2,88,4,2398.3900000000003,33,622.02,282,14,599.5975000000001,4796.780000000001,1,0.14814814814814814,0.2410958904109589,8.25,Medium Value
56,2010-10-20,2013-12-27,3,4,8,11090.449999999999,120,76.0,166,20,1386.3062499999999,33271.35,1,0.2962962962962963,0.010958904109589041,15.0,High Value
57,2012-01-21,2012-01-21,0,710,1,124.55,10,116.6,0,10,124.55,0.0,0,0.037037037037037035,1.9452054794520548,10.0,Low Value
59,2013-02-23,2013-03-14,0,292,5,1361.38,40,51.84,2,8,272.276,0.0,1,0.18518518518518517,0.8,8.0,Low Value
60,2012-10-06,2013-07-21,0,163,3,350.15,38,66.88,144,16,116.71666666666665,0.0,1,0.1111111111111111,0.4465753424657534,12.666666666666666,Low Value
61,2011-11-18,2013-11-11,1,50,6,3615.28,94,2294.3199999999997,144,28,602.5466666666667,3615.28,1,0.2222222222222222,0.136986301369863,15.666666666666666,Medium Value
62,2010-09-11,2013-12-12,3,19,4,972.47,43,17.94,396,3,243.1175,2917.41,1,0.14814814814814814,0.052054794520547946,10.75,Medium Value
63,2013-02-05,2013-07-06,0,178,5,2771.5,38,212.91,0,3,554.3,0.0,1,0.18518518518518517,0.4876712328767123,7.6,Low Value
64,2010-02-03,2013-08-26,3,127,4,2506.67,33,3.69,433,1,626.6675,7520.01,1,0.14814814814814814,0.34794520547945207,8.25,High Value
65,2012-02-05,2012-02-05,0,695,1,2697.86,13,2677.87,0,13,2697.86,0.0,0,0.037037037037037035,1.904109589041096,13.0,Low Value
66,2012-02-05,2013-12-06,1,25,2,2439.8100000000004,29,2281.02,670,14,1219.9050000000002,2439.8100000000004,1,0.07407407407407407,0.0684931506849315,14.5,Medium Value
67,2010-02-01,2013-12-03,3,28,5,6203.349999999999,35,1240.48,350,8,1240.6699999999998,18610.05,1,0.18518518518518517,0.07671232876712329,7.0,High Value
68,2010-02-01,2013-12-06,3,25,10,58945.37,397,1166.92,156,4,5894.537,176836.11000000002,1,0.37037037037037035,0.0684931506849315,39.7,High Value
69,2012-02-05,2012-02-05,0,695,1,2215.09,11,2210.8900000000003,0,11,2215.09,0.0,0,0.037037037037037035,1.904109589041096,11.0,Low Value
70,2010-02-02,2010-02-02,0,1428,1,1546.08,12,1475.8799999999999,0,12,1546.08,0.0,0,0.037037037037037035,3.9123287671232876,12.0,Low Value
72,2012-12-08,2012-12-08,0,388,1,125.84,18,123.84,0,18,125.84,0.0,0,0.037037037037037035,1.063013698630137,18.0,Low Value
73,2013-10-28,2013-10-28,0,64,1,510.66,22,502.48,0,22,510.66,0.0,0,0.037037037037037035,0.17534246575342466,22.0,Low Value
74,2012-10-12,2012-10-12,0,445,1,158.4,7,152.46,0,7,158.4,0.0,0,0.037037037037037035,1.2191780821917808,7.0,Low Value
75,2012-11-04,2012-11-04,0,422,1,404.93,6,395.93999999999994,0,6,404.93,0.0,0,0.037037037037037035,1.1561643835616437,6.0,Low Value
76,2012-11-04,2012-11-04,0,422,1,805.45,5,799.95,0,5,805.45,0.0,0,0.037037037037037035,1.1561643835616437,5.0,Low Value
77,2012-11-04,2012-11-04,0,422,1,73.53,10,64.80000000000001,0,10,73.53,0.0,0,0.037037037037037035,1.1561643835616437,10.0,Low Value
78,2012-11-04,2012-11-04,0,422,1,51.15,2,39.98,0,2,51.15,0.0,0,0.037037037037037035,1.1561643835616437,2.0,Low Value
80,2011-05-19,2012-07-16,1,533,6,4587.72,60,1266.86,82,7,764.62,4587.72,1,0.2222222222222222,1.4602739726027398,10.0,Medium Value
81,2012-07-16,2013-04-01,0,274,3,1038.0,25,881.93,129,7,346.0,0.0,1,0.1111111111111111,0.7506849315068493,8.333333333333334,Low Value
83,2010-03-15,2013-01-09,2,356,4,2139.58,45,1777.08,343,6,534.895,4279.16,1,0.14814814814814814,0.9753424657534246,11.25,Medium Value
84,2010-02-02,2013-09-30,3,92,7,17692.030000000002,69,88.99,222,11,2527.4328571428573,53076.09000000001,1,0.25925925925925924,0.25205479452054796,9.857142857142858,High Value
85,2011-10-04,2013-04-19,1,256,3,10525.49,26,2927.7599999999998,281,12,3508.4966666666664,10525.49,1,0.1111111111111111,0.7013698630136986,8.666666666666666,High Value
87,2010-03-06,2013-04-15,3,260,4,6102.41,50,3069.4500000000003,378,19,1525.6025,18307.23,1,0.14814814814814814,0.7123287671232876,12.5,High Value
88,2011-12-13,2011-12-13,0,749,1,434.22,14,430.22,0,14,434.22,0.0,0,0.037037037037037035,2.052054794520548,14.0,Low Value
90,2012-07-02,2012-07-02,0,547,1,389.8,10,354.79999999999995,0,10,389.8,0.0,0,0.037037037037037035,1.4986301369863013,10.0,Low Value
91,2010-04-09,2012-08-09,2,509,7,5371.02,82,178.56,135,9,767.2885714285715,10742.04,1,0.25925925925925924,1.3945205479452054,11.714285714285714,High Value
92,2010-05-17,2013-11-22,3,39,5,1081.3400000000001,76,133.44,321,16,216.26800000000003,3244.0200000000004,1,0.18518518518518517,0.10684931506849316,15.2,Medium Value
93,2011-11-22,2013-01-09,1,356,5,4271.01,86,107.58,103,11,854.202,4271.01,1,0.18518518518518517,0.9753424657534246,17.2,Medium Value
94,2010-03-11,2013-09-12,3,110,14,38036.49,740,5956.259999999999,98,37,2716.8921428571425,114109.47,1,0.5185185185185185,0.3013698630136986,52.857142857142854,High Value
95,2012-08-10,2013-03-19,0,287,4,3496.46,36,287.92,73,8,874.115,0.0,1,0.14814814814814814,0.7863013698630137,9.0,Low Value
96,2011-08-21,2013-03-13,1,293,4,869.1800000000001,39,97.72,190,14,217.29500000000002,869.1800000000001,1,0.14814814814814814,0.8027397260273973,9.75,Medium Value
97,2010-03-11,2013-09-12,3,110,5,5061.889999999999,105,1448.82,320,9,1012.3779999999999,15185.669999999998,1,0.18518518518518517,0.3013698630136986,21.0,High Value
98,2013-12-04,2013-12-04,0,27,1,33.29,4,25.92,0,4,33.29,0.0,0,0.037037037037037035,0.07397260273972603,4.0,Low Value
99,2011-02-23,2011-02-23,0,1042,1,42.64,12,41.88,0,12,42.64,0.0,0,0.037037037037037035,2.8547945205479452,12.0,Low Value
100,2013-02-14,2013-02-14,0,320,1,284.95,5,279.95,0,5,284.95,0.0,0,0.037037037037037035,0.8767123287671232,5.0,Low Value
101,2010-06-22,2012-04-24,1,616,2,2232.38,29,319.68,672,16,1116.19,2232.38,1,0.07407407407407407,1.6876712328767123,14.5,Medium Value
102,2010-06-04,2013-02-14,2,320,15,30061.649999999998,560,9330.380000000001,70,31,2004.11,60123.299999999996,1,0.5555555555555556,0.8767123287671232,37.333333333333336,High Value
103,2011-02-23,2011-02-23,0,1042,1,338.95,9,318.96,0,9,338.95,0.0,0,0.037037037037037035,2.8547945205479452,9.0,Low Value
104,2011-02-23,2011-02-23,0,1042,1,62.57,3,53.099999999999994,0,3,62.57,0.0,0,0.037037037037037035,2.8547945205479452,3.0,Low Value
105,2013-02-23,2013-02-23,0,311,1,80.23,8,78.24,0,8,80.23,0.0,0,0.037037037037037035,0.852054794520548,8.0,Low Value
106,2011-09-03,2011-09-03,0,850,1,49.36,7,41.86,0,7,49.36,0.0,0,0.037037037037037035,2.328767123287671,7.0,Low Value
107,2010-06-04,2010-06-04,0,1306,1,2462.76,8,2407.84,0,8,2462.76,0.0,0,0.037037037037037035,3.578082191780822,8.0,Low Value
108,2011-06-29,2011-06-29,0,916,1,118.96,17,116.96,0,17,118.96,0.0,0,0.037037037037037035,2.5095890410958903,17.0,Low Value
109,2010-06-22,2010-06-22,0,1288,1,13.01,4,11.52,0,4,13.01,0.0,0,0.037037037037037035,3.5287671232876714,4.0,Low Value
110,2011-02-23,2011-02-23,0,1042,1,54.53,7,45.36,0,7,54.53,0.0,0,0.037037037037037035,2.8547945205479452,7.0,Low Value
111,2013-02-14,2013-02-14,0,320,1,1816.99,9,1808.91,0,9,1816.99,0.0,0,0.037037037037037035,0.8767123287671232,9.0,Low Value
112,2011-06-29,2011-06-29,0,916,1,182.02,16,175.52,0,16,182.02,0.0,0,0.037037037037037035,2.5095890410958903,16.0,Low Value
113,2011-09-03,2011-09-03,0,850,1,35.29,6,34.08,0,6,35.29,0.0,0,0.037037037037037035,2.328767123287671,6.0,Low Value
114,2010-03-01,2013-12-26,3,5,4,161.82999999999998,43,29.82,465,7,40.457499999999996,485.48999999999995,1,0.14814814814814814,0.0136986301369863,10.75,Medium Value
115,2010-09-04,2013-08-16,2,137,5,2369.4700000000003,41,25.44,269,12,473.89400000000006,4738.9400000000005,1,0.18518518518518517,0.37534246575342467,8.2,Medium Value
116,2013-09-04,2013-09-04,0,118,1,5.98,3,5.28,0,3,5.98,0.0,0,0.037037037037037035,0.3232876712328767,3.0,Low Value
117,2010-03-01,2013-12-26,3,5,10,9927.76,348,123.53999999999999,155,29,992.7760000000001,29783.28,1,0.37037037037037035,0.0136986301369863,34.8,High Value
119,2011-12-17,2013-10-02,1,90,5,1482.22,57,436.30999999999995,122,23,296.444,1482.22,1,0.18518518518518517,0.2465753424657534,11.4,Medium Value
120,2010-12-07,2012-11-08,1,418,5,3888.29,58,63.0,175,10,777.658,3888.29,1,0.18518518518518517,1.1452054794520548,11.6,Medium Value
122,2012-04-30,2013-08-30,1,123,5,2020.1599999999999,53,495.73999999999995,74,14,404.032,2020.1599999999999,1,0.18518518518518517,0.336986301369863,10.6,Medium Value
123,2010-09-10,2013-09-10,3,112,2,598.71,24,94.27000000000001,1096,11,299.355,1796.13,1,0.07407407407407407,0.30684931506849317,12.0,Medium Value
125,2012-06-10,2013-08-29,1,124,2,209.84,21,189.81,445,19,104.92,209.84,1,0.07407407407407407,0.33972602739726027,10.5,Medium Value
126,2011-10-09,2013-08-29,1,124,2,88.72,23,18.240000000000002,690,3,44.36,88.72,1,0.07407407407407407,0.33972602739726027,11.5,Medium Value
127,2013-07-05,2013-10-09,0,83,3,1592.64,32,14.46,48,3,530.88,0.0,1,0.1111111111111111,0.2273972602739726,10.666666666666666,Low Value
129,2010-07-27,2013-11-29,3,32,3,5017.46,62,8.7,610,5,1672.4866666666667,15052.380000000001,1,0.1111111111111111,0.08767123287671233,20.666666666666668,High Value
130,2012-03-06,2013-11-01,1,60,3,592.6600000000001,27,20.23,302,7,197.55333333333337,592.6600000000001,1,0.1111111111111111,0.1643835616438356,9.0,Medium Value
132,2011-09-20,2013-11-30,2,31,4,1740.58,66,147.39,267,17,435.145,3481.16,1,0.14814814814814814,0.08493150684931507,16.5,Medium Value
133,2011-03-14,2013-08-05,2,148,3,857.89,17,425.34000000000003,437,6,285.9633333333333,1715.78,1,0.1111111111111111,0.4054794520547945,5.666666666666667,Medium Value
134,2013-11-30,2013-11-30,0,31,1,6124.14,3,6109.4400000000005,0,3,6124.14,0.0,0,0.037037037037037035,0.08493150684931507,3.0,Low Value
136,2010-11-16,2013-11-16,3,45,4,381.65999999999997,65,94.85,365,5,95.41499999999999,1144.98,1,0.14814814814814814,0.1232876712328767,16.25,Medium Value
137,2012-10-26,2012-10-26,0,431,1,137.22,9,130.04999999999998,0,9,137.22,0.0,0,0.037037037037037035,1.180821917808219,9.0,Low Value
138,2013-09-02,2013-09-02,0,120,1,213.16,1,193.17,0,1,213.16,0.0,0,0.037037037037037035,0.3287671232876712,1.0,Low Value
139,2012-12-31,2012-12-31,0,365,1,37.09,1,35.99,0,1,37.09,0.0,0,0.037037037037037035,1.0,1.0,Low Value
141,2011-01-14,2012-01-24,1,707,2,171.07,14,20.46,375,2,85.535,171.07,1,0.07407407407407407,1.936986301369863,7.0,Medium Value
142,2010-02-06,2010-02-06,0,1424,1,308.46,13,296.92,0,13,308.46,0.0,0,0.037037037037037035,3.9013698630136986,13.0,Low Value
143,2012-01-24,2012-01-24,0,707,1,24.48,8,23.52,0,8,24.48,0.0,0,0.037037037037037035,1.936986301369863,8.0,Low Value
144,2010-02-06,2010-02-06,0,1424,1,69.25,6,65.88,0,6,69.25,0.0,0,0.037037037037037035,3.9013698630136986,6.0,Low Value
145,2010-01-15,2013-02-09,3,325,5,723.9399999999999,53,14.08,280,2,144.78799999999998,2171.8199999999997,1,0.18518518518518517,0.8904109589041096,10.6,Medium Value
146,2010-10-23,2013-12-09,3,22,6,2883.3100000000004,66,183.92,209,4,480.55166666666673,8649.93,1,0.2222222222222222,0.06027397260273973,11.0,High Value
147,2013-02-06,2013-02-06,0,328,1,16.23,1,9.99,0,1,16.23,0.0,0,0.037037037037037035,0.8986301369863013,1.0,Low Value
148,2012-07-22,2012-07-22,0,527,1,60.67,6,59.58,0,6,60.67,0.0,0,0.037037037037037035,1.4438356164383561,6.0,Low Value
149,2011-09-24,2011-09-24,0,829,1,145.77,3,140.67000000000002,0,3,145.77,0.0,0,0.037037037037037035,2.271232876712329,3.0,Low Value
151,2010-01-22,2012-05-14,2,596,5,532.51,26,65.96,202,2,106.502,1065.02,1,0.18518518518518517,1.632876712328767,5.2,Medium Value
152,2010-01-15,2013-03-21,3,285,7,4534.64,60,5.76,193,2,647.8057142857143,13603.920000000002,1,0.25925925925925924,0.7808219178082192,8.571428571428571,High Value
153,2012-04-23,2013-10-30,1,62,6,934.89,69,88.14,111,13,155.815,934.89,1,0.2222222222222222,0.16986301369863013,11.5,Medium Value
154,2012-04-09,2013-08-28,1,125,2,4677.29,33,4191.9,506,10,2338.645,4677.29,1,0.07407407407407407,0.3424657534246575,16.5,Medium Value
156,2010-05-14,2013-02-02,2,332,5,2652.0699999999997,35,1247.87,248,13,530.414,5304.139999999999,1,0.18518518518518517,0.9095890410958904,7.0,Medium Value
157,2013-01-21,2013-02-02,0,332,2,28.17,11,8.01,12,1,14.085,0.0,1,0.07407407407407407,0.9095890410958904,5.5,Low Value
159,2011-04-06,2013-08-09,2,144,4,865.39,62,163.5,285,15,216.3475,1730.78,1,0.14814814814814814,0.39452054794520547,15.5,Medium Value
161,2013-05-26,2013-05-26,0,219,3,666.26,30,85.0,0,10,222.08666666666667,0.0,1,0.1111111111111111,0.6,10.0,Low Value
162,2013-01-16,2013-11-21,0,40,4,8068.0,47,1088.82,103,9,2017.0,0.0,1,0.14814814814814814,0.1095890410958904,11.75,Low Value
163,2011-04-11,2013-05-29,2,216,2,1009.35,34,175.2,779,30,504.675,2018.7,1,0.07407407407407407,0.5917808219178082,17.0,Medium Value
164,2010-02-07,2013-08-03,3,150,5,2245.7799999999997,53,706.86,318,7,449.15599999999995,6737.339999999999,1,0.18518518518518517,0.410958904109589,10.6,High Value
166,2010-11-01,2012-02-13,1,687,4,2704.27,35,1999.9,156,5,676.0675,2704.27,1,0.14814814814814814,1.8821917808219177,8.75,Medium Value
167,2011-06-23,2012-12-17,1,379,3,1019.9300000000001,34,605.52,271,9,339.9766666666667,1019.9300000000001,1,0.1111111111111111,1.0383561643835617,11.333333333333334,Medium Value
169,2010-03-01,2013-12-01,3,30,6,9085.67,28,129.66,251,3,1514.2783333333334,27257.010000000002,1,0.2222222222222222,0.0821917808219178,4.666666666666667,High Value
170,2011-03-16,2011-03-16,0,1021,1,181.44,4,163.96,0,4,181.44,0.0,0,0.037037037037037035,2.797260273972603,4.0,Low Value
171,2010-04-13,2010-04-13,0,1358,1,3.37,1,1.88,0,1,3.37,0.0,0,0.037037037037037035,3.7205479452054795,1.0,Low Value
172,2011-07-14,2013-12-01,2,30,2,169.73000000000002,21,118.44000000000001,871,14,84.86500000000001,339.46000000000004,1,0.07407407407407407,0.0821917808219178,10.5,Medium Value
174,2011-07-17,2011-11-08,0,784,2,72.19,12,51.660000000000004,114,9,36.095,0.0,1,0.07407407407407407,2.147945205479452,6.0,Low Value
175,2011-04-20,2013-04-20,2,255,2,712.5,12,504.90000000000003,731,5,356.25,1425.0,1,0.07407407407407407,0.6986301369863014,6.0,Medium Value
177,2011-09-03,2013-01-02,1,363,6,1954.6499999999999,38,6.48,97,1,325.775,1954.6499999999999,1,0.2222222222222222,0.9945205479452055,6.333333333333333,Medium Value
178,2011-02-26,2013-06-06,2,208,6,2959.87,59,173.14000000000001,154,11,493.31166666666667,5919.74,1,0.2222222222222222,0.5698630136986301,9.833333333333334,High Value
180,2012-12-24,2013-12-12,0,19,3,11296.689999999999,47,2104.9,176,5,3765.563333333333,0.0,1,0.1111111111111111,0.052054794520547946,15.666666666666666,Low Value
181,2010-02-21,2013-12-23,3,8,8,13788.849999999999,411,899.82,200,18,1723.6062499999998,41366.549999999996,1,0.2962962962962963,0.021917808219178082,51.375,High Value
182,2012-03-21,2012-03-21,0,650,1,34.43,13,33.93,0,13,34.43,0.0,0,0.037037037037037035,1.7808219178082192,13.0,Low Value
183,2013-12-23,2013-12-23,0,8,1,2265.74,23,2207.54,0,23,2265.74,0.0,0,0.037037037037037035,0.021917808219178082,23.0,Low Value
184,2010-02-21,2010-02-21,0,1409,1,269.94,5,249.95000000000002,0,5,269.94,0.0,0,0.037037037037037035,3.8602739726027395,5.0,Low Value
185,2012-01-16,2012-01-16,0,715,1,11.57,3,11.07,0,3,11.57,0.0,0,0.037037037037037035,1.9589041095890412,3.0,Low Value
186,2011-03-11,2011-03-11,0,1026,1,863.79,1,808.49,0,1,863.79,0.0,0,0.037037037037037035,2.8109589041095893,1.0,Low Value
187,2011-03-19,2011-03-19,0,1018,1,92.21,6,90.24,0,6,92.21,0.0,0,0.037037037037037035,2.789041095890411,6.0,Low Value
188,2010-11-22,2010-11-22,0,1135,2,283.73,52,231.38000000000002,0,23,141.865,0.0,1,0.07407407407407407,3.1095890410958904,26.0,Low Value
190,2010-12-08,2010-12-08,0,1119,1,175.79,3,174.3,0,3,175.79,0.0,0,0.037037037037037035,3.0657534246575344,3.0,Low Value
191,2010-09-10,2013-03-03,2,303,6,3387.8900000000003,50,80.48,163,1,564.6483333333334,6775.780000000001,1,0.2222222222222222,0.8301369863013699,8.333333333333334,High Value
193,2010-03-01,2010-09-30,0,1188,2,370.76,22,213.45,213,1,185.38,0.0,1,0.07407407407407407,3.254794520547945,11.0,Low Value
194,2010-09-30,2013-09-12,2,110,6,7689.62,77,25.92,215,4,1281.6033333333332,15379.24,1,0.2222222222222222,0.3013698630136986,12.833333333333334,High Value
195,2011-04-06,2013-09-03,2,119,2,102.35,13,31.84,881,8,51.175,204.7,1,0.07407407407407407,0.32602739726027397,6.5,Medium Value
196,2011-05-01,2013-12-29,2,2,3,309.25,20,11.56,486,2,103.08333333333333,618.5,1,0.1111111111111111,0.005479452054794521,6.666666666666667,Medium Value
197,2010-02-10,2013-07-22,3,162,5,3978.4,53,3069.4500000000003,296,19,795.6800000000001,11935.2,1,0.18518518518518517,0.4438356164383562,10.6,High Value
198,2010-02-10,2013-12-29,3,2,8,17000.62,290,12439.35,202,77,2125.0775,51001.86,1,0.2962962962962963,0.005479452054794521,36.25,High Value
200,2012-01-27,2013-03-18,1,288,4,549.3299999999999,20,104.94999999999999,126,5,137.33249999999998,549.3299999999999,1,0.14814814814814814,0.7890410958904109,5.0,Medium Value
202,2010-04-27,2011-10-02,1,821,3,569.03,19,36.839999999999996,261,3,189.67666666666665,569.03,1,0.1111111111111111,2.249315068493151,6.333333333333333,Medium Value
204,2011-05-16,2012-10-04,1,453,6,2537.09,62,29.31,74,3,422.84833333333336,2537.09,1,0.2222222222222222,1.2410958904109588,10.333333333333334,Medium Value
205,2012-08-30,2012-08-30,0,488,1,932.85,14,923.8599999999999,0,14,932.85,0.0,0,0.037037037037037035,1.336986301369863,14.0,Low Value
207,2012-01-21,2012-01-21,0,710,1,115.86,7,111.86,0,7,115.86,0.0,0,0.037037037037037035,1.9452054794520548,7.0,Low Value
208,2013-01-03,2013-01-03,0,362,1,11.46,1,5.89,0,1,11.46,0.0,0,0.037037037037037035,0.9917808219178083,1.0,Low Value
210,2010-02-12,2012-10-20,2,437,7,2606.39,41,16.74,137,9,372.34142857142854,5212.78,1,0.25925925925925924,1.1972602739726028,5.857142857142857,Medium Value
211,2010-02-12,2013-12-11,3,20,7,4209.01,66,20.12,213,2,601.2871428571428,12627.03,1,0.25925925925925924,0.0547945205479452,9.428571428571429,High Value
212,2011-02-21,2013-09-20,2,102,5,2402.86,45,450.66999999999996,235,11,480.572,4805.72,1,0.18518518518518517,0.27945205479452057,9.0,Medium Value
214,2011-07-21,2012-11-27,1,399,5,2389.93,39,575.8199999999999,123,9,477.986,2389.93,1,0.18518518518518517,1.093150684931507,7.8,Medium Value
215,2013-02-06,2013-12-21,0,10,3,364.40999999999997,19,14.52,152,3,121.46999999999998,0.0,1,0.1111111111111111,0.0273972602739726,6.333333333333333,Low Value
216,2011-06-06,2012-02-22,0,678,4,1399.12,26,54.78,87,11,349.78,0.0,1,0.14814814814814814,1.8575342465753424,6.5,Low Value
